7 13   -86.6265 -70.4053 0.223258
8 13   199.747 4.03949 0.399575
9 13   -121.343 374.132 0.786635
10 13   -258.046 175.807 0.624486
11 13   -412.414 -323.542 1.04836
12 13   641.301 379.987 1.49085
13 13   236.398 1904.18 3.83759
14 13   32.5998 39.5853 0.102562
15 13   -68.139 -117.261 0.271242
16 13   -102.049 1.40821 0.204117
17 13   -202.991 135.773 0.488425
18 13   -276.828 375.05 0.932301
19 13   228.634 54.0407 0.469867
20 13   -11.5246 -236.613 0.473788
21 13   -1835.81 40.3409 3.67251
22 13   216.313 631.917 1.33583
23 13   1254.49 -1238 3.52499
24 13   48.8487 -202.177 0.415989
25 13   8.09056 84.6036 0.169979
26 13   53.9941 211.643 0.436843
27 13   153.756 205.821 0.513823
28 13   -866.244 394.766 1.90391
29 13   -184.331 178.056 0.51257
30 13   -305.006 472.342 1.12452
31 13   -70.7144 -25.8712 0.150597
32 13   -602.401 382.895 1.42758
33 13   87.5444 182.132 0.404158
34 13   -259.48 -11.1962 0.519443
35 13   -179.447 201.278 0.539311
36 13   189.976 659.608 1.37284
37 13   -479.097 -630.366 1.58354
38 13   411.163 -138.339 0.867624
39 13   54.8943 -198.619 0.41213
40 13   4.25284 303.767 0.607594
41 13   -259.294 -338.194 0.852312
42 13   37.7966 140.554 0.291094
43 13   -133.152 125.078 0.365371
44 13   104.392 -121.251 0.319997
45 13   998.42 -54.2688 1.99979
46 13   -92.8613 -7.10923 0.186266
47 13   -104.641 214.059 0.476533
48 13   -97.1886 1.7854 0.19441
49 13   521.325 479.525 1.41665
50 13   -277.255 -923.628 1.92869
1 14   33.2695 -427 0.856588
2 14   -5.72044 -30.6964 0.0624497
3 14   1607.13 2175.34 5.40925
4 14   44.0392 87.6075 0.196107
5 14   -147.475 -395.979 0.8451
6 14   160.008 -225.971 0.55377
7 14   -152.233 86.4698 0.350154
8 14   -128.743 983.958 1.98469
9 14   82.2699 160.932 0.361483
10 14   -47.9234 -171.113 0.355394
11 14   32.3354 361.569 0.726024
12 14   117.29 137.799 0.361914
13 14   -123.891 -146.726 0.38407
14 14   -160.028 212.713 0.532376
15 14   -586.625 -491.753 1.53095
16 14   342.768 -399.1 1.05218
17 14   -75.897 -36.1565 0.168139
18 14   894.645 -279.039 1.8743
19 14   -150.498 221.188 0.535066
20 14   -295.114 -169.551 0.680705
21 14   -1638.56 2.41715 3.27713
22 14   -31.7479 10.7903 0.067063
23 14   -63.7391 -10.3502 0.129148
24 14   -40.1226 -224.024 0.455177
25 14   -412.624 69.9819 0.837032
26 14   30.6277 309.101 0.62123
27 14   0.679123 -2.63139 0.00543522
28 14   761.461 167.818 1.55947
29 14   361.643 -243.481 0.871937
30 14   73.5953 -370.635 0.755743
31 14   697.284 -148.275 1.42575
32 14   267.793 344.796 0.873149
33 14   109.553 33.8923 0.229351
34 14   507.243 -453.074 1.36025
35 14   -226.386 87.3584 0.485312
36 14   -97.1335 42.9304 0.212395
37 14   -159.531 149.97 0.437909
38 14   -124.201 -110.486 0.332465
39 14   184.101 57.4309 0.385702
40 14   -315.902 17.8556 0.632812
41 14   217.915 -294.986 0.733495
42 14   -26.7156 -246.032 0.494956
43 14   -13.2549 -132.516 0.266354
44 14   95.777 -298.954 0.627842
45 14   -142.218 -331.716 0.721836
46 14   25.3089 171.317 0.346352
47 14   -90.2003 -27.3997 0.18854
48 14   -88.8725 -386.482 0.793138
49 14   79.5713 -22.8037 0.165549
50 14   231.669 0.376617 0.46334
1 15   -41.6387 -552.839 1.10881
2 15   161.051 -47.2418 0.335675
3 15   473.254 -0.835049 0.946509
4 15   92.3586 208.134 0.455411
5 15   7.33513 155.37 0.311086
6 15   -182.904 227.133 0.583243
7 15   225.467 45.8536 0.460166
8 15   -228.917 -93.3207 0.494416
9 15   -338.686 72.1359 0.692565
10 15   -348.917 1054.83 2.22209
11 15   -13.4551 -124.82 0.251087
12 15   -2621.06 47.9103 5.24299
13 15   -157.255 -445.813 0.94547
14 15   45.8947 -34.7491 0.115132
15 15   168.158 -62.5466 0.358827
16 15   -1477.67 -1345.66 3.99715
17 15   26.3402 52.6659 0.117771
18 15   116.192 -75.8555 0.277522
19 15   -863.274 2074.28 4.4935
20 15   47.4236 -67.2569 0.16459
21 15   42.414 105.099 0.226669
22 15   -132.181 165.544 0.423681
23 15   16.8211 25.0359 0.060324
24 15   42.0153 -101.908 0.22046
25 15   -80.5991 -276.457 0.575932
26 15   -361.453 -336.569 0.987779
27 15   717.799 453.441 1.69805
28 15   2614.18 -4776.1 10.8895
29 15   -3.3498 -281.898 0.563836
30 15   -197.013 -476.6 1.03143
31 15   123.202 -303.826 0.65571
32 15   8.01987 54.173 0.109527
33 15   105.127 246.159 0.535335
34 15   0.171535 -37.467 0.0749348
35 15   191.11 64.2072 0.403215
36 15   -186.363 -1049.48 2.1318
37 15   67.1668 -0.223924 0.134334
38 15   82.9476 -31.3514 0.177349
39 15   178.436 203.306 0.541009
40 15   -411.656 -107.379 0.85086
41 15   170.322 1.00105 0.340649
42 15   38.3864 -20.0886 0.0866503
43 15   813.16 -656.42 2.09009
44 15   -160.179 -120.121 0.400432
