44 7   -850.195 -1422.06 3.31366
45 7   -226.274 -319.8 0.78351
46 7   94.3551 124.313 0.312132
47 7   -502.096 -22.8786 1.00523
48 7   -147.582 46.386 0.309399
49 7   412.986 -1449.21 3.01381
50 7   118.095 68.2517 0.272799
1 8   -32.8019 -51.2178 0.121643
2 8   -47.5055 -191.688 0.394973
3 8   -227.168 42.8942 0.462364
4 8   112.692 -58.9831 0.25439
5 8   132.972 362.296 0.771855
6 8   63.8325 -137.657 0.303473
7 8   160.477 -140.454 0.426522
8 8   -210.692 -251.329 0.655919
9 8   2.04703 123.694 0.247423
10 8   233.388 98.6366 0.506751
11 8   100.763 154.516 0.368936
12 8   187.727 -14.4979 0.376572
13 8   -623.254 -442.873 1.52916
14 8   -55.6003 157.647 0.334329
15 8   -73.4378 27.5085 0.156842
16 8   429.387 134.326 0.899815
17 8   -159.175 169.219 0.464636
18 8   -499.235 -404.359 1.2849
19 8   94.5407 125.526 0.314291
20 8   -90.0083 25.9751 0.187363
21 8   486.031 -160.342 1.02359
22 8   63.0643 -177.457 0.376659
23 8   -583.505 110.58 1.18778
24 8   118.343 68.2312 0.273208
25 8   198.399 -199.883 0.563259
26 8   -106.724 -215.849 0.481584
27 8   -120.027 -104.368 0.318114
28 8   -249.715 -1461.55 2.96545
29 8   174.318 123.105 0.42681
30 8   -87.8607 -294.629 0.614901
31 8   182.742 -2137.8 4.2912
32 8   207.842 27.1624 0.419219
33 8   -52.5141 747.671 1.49903
34 8   118.07 -12.158 0.237389
35 8   -286.071 852.034 1.79755
36 8   64.6664 -37.6103 0.149616
37 8   -81.5566 -1.28357 0.163133
38 8   -359.292 -145.769 0.775471
39 8   -149.452 -91.2769 0.350243
40 8   1.38717 2.6044 0.00590158
41 8   -364.494 69.6402 0.742174
42 8   38.3977 -236.018 0.478241
43 8   -79.7338 78.7809 0.224178
44 8   76.2511 52.7922 0.185486
45 8   192.461 274.031 0.669729
46 8   -17.1203 7.50031 0.0373823
47 8   -36.9233 -86.7067 0.188482
48 8   276.726 -327.169 0.857011
49 8   1178.32 838.127 2.89199
50 8   246.619 302.47 0.780536
1 9   -168.378 29.1507 0.341766
2 9   -155.441 111.077 0.382099
3 9   -489.362 372.867 1.23046
4 9   -433.101 -313.046 1.06878
5 9   -94.7881 -89.5392 0.260784
6 9   99.3688 -46.1361 0.219114
7 9   -18670 16305.6 49.5759
8 9   270.598 192.709 0.66441
9 9   -76.5786 -166.037 0.365691
10 9   -22.5753 -49.0993 0.108081
11 9   -239.392 -138.415 0.553055
12 9   -320.074 151.957 0.708627
13 9   -89.0356 29.2393 0.187428
14 9   -537.213 -872.622 2.04945
15 9   172.733 -174.415 0.490947
16 9   120.336 -132.156 0.357469
17 9   110.911 -166.587 0.400262
18 9   428.325 -223.519 0.966278
19 9   -138.3 -30.1041 0.283077
20 9   -26.6557 -328.668 0.659495
