47 7   -6843.22 -1680.62 14.0931
48 7   -109.798 -194.391 0.446512
49 7   148.581 37.8318 0.306644
50 7   -1090.6 -1588.03 3.85292
1 8   205.176 -66.9116 0.431621
2 8   -337.515 -430.463 1.09401
3 8   16.4327 -153.229 0.308214
4 8   470.778 -163.047 0.996426
5 8   -181.642 149.542 0.470559
6 8   21.3602 807.267 1.6151
7 8   -65.8364 -106.971 0.251215
8 8   -3001.48 4032.8 10.0543
9 8   -19.6197 156.064 0.314586
10 8   258.445 272.656 0.751359
11 8   -163.899 -54.0428 0.345158
12 8   -39.4404 71.2725 0.162915
13 8   -253.198 68.1858 0.524437
14 8   7.67569 5.80873 0.0192518
15 8   29.9573 99.2422 0.20733
16 8   189.301 5.12168 0.37874
17 8   39.7007 -25.3419 0.0941989
18 8   91.6687 -747.81 1.50682
19 8   168.554 539.199 1.12986
20 8   -105.54 1013.01 2.03699
21 8   -385.666 22.5308 0.772647
22 8   183.444 -84.5507 0.403983
23 8   190.103 219.545 0.580825
24 8   -242.181 -166.769 0.588094
25 8   27.0239 -418.174 0.838093
26 8   67.9862 104.418 0.2492
27 8   41.0977 -606.936 1.21665
28 8   -287.425 -68.6031 0.590998
29 8   -43.9079 85.2853 0.191849
30 8   21.8752 78.9784 0.163904
31 8   83.596 -16.0386 0.170241
32 8   -0.645579 -196.814 0.39363
33 8   1163.14 662.546 2.67722
34 8   -372.411 497.351 1.24266
35 8   59.8227 159.497 0.340693
36 8   -71.1188 -70.1268 0.199756
37 8   -314.65 265.817 0.823804
38 8   110.295 467.171 0.960028
39 8   -188.539 -79.5934 0.409303
40 8   -141.96 58.3069 0.306935
41 8   -64.7906 -27.1522 0.1405
42 8   -90.8872 -204.476 0.44753
43 8   -91.7768 157.435 0.364465
44 8   221.799 -358.618 0.843331
45 8   -30.5204 -801.533 1.60423
46 8   -202.628 -203.034 0.573692
47 8   -252.07 129.617 0.566886
48 8   -81.6579 12.1527 0.165114
49 8   105.002 153.904 0.372623
50 8   393.643 562.294 1.37278
1 9   -152.988 128.766 0.399931
2 9   302.663 -175.406 0.699635
3 9   64.1461 -102.247 0.241405
4 9   497.041 -498.983 1.40859
5 9   -134.669 98.535 0.333736
6 9   -14.6627 11.1168 0.036801
7 9   -163.784 -1984.76 3.98301
8 9   -256.479 -24.6409 0.515319
9 9   -9.95039 135.722 0.272173
10 9   178.362 168.887 0.491267
11 9   25.5848 8.28187 0.0537838
12 9   -158.908 94.1211 0.369381
13 9   -5153.96 2988.19 11.9151
14 9   27.2125 -348.218 0.69856
15 9   91.1797 -266.022 0.562428
16 9   307.229 334.472 0.908321
17 9   -92.6611 7.5941 0.185944
18 9   135.358 356.452 0.762574
19 9   -154.202 -29.0571 0.313832
20 9   -6.64594 -188.391 0.377016
21 9   -291.143 -59.5355 0.594336
22 9   -55.5915 13.9452 0.114628
23 9   -405.065 376.959 1.10666
24 9   -32.0915 -7.45738 0.0658931
25 9   96.2548 -388.462 0.800418
26 9   127.022 -88.8874 0.310068
27 9   161.082 -672.211 1.38248
28 9   113.637 257.331 0.562611
29 9   50.4871 83.2009 0.194642
30 9   160.271 217.064 0.539643
31 9   -100.237 191.944 0.433081
32 9   -134.274 -218.312 0.512601
33 9   588.731 -1.00307 1.17746
34 9   -314.811 344.028 0.932655
35 9   132.307 130.21 0.371267
36 9   -56.6804 208.904 0.432914
37 9   43.0057 -198.554 0.406316
38 9   87.0463 32.9671 0.18616
39 9   488.586 117.083 1.00484
40 9   123.151 -116.447 0.338974
41 9   153.994 308.365 0.689356
42 9   -64.2741 -131.569 0.292859
43 9   -25.8529 -62.7782 0.135786
44 9   -31.016 208.189 0.420973
45 9   834.511 -453.561 1.89961
46 9   200.559 216.596 0.590381
47 9   -88.2319 -219.895 0.473872
48 9   361.869 164.677 0.795155
49 9   395.326 62.4094 0.800443
50 9   86.7877 207.424 0.449697
1 10   -140.791 -9.9588 0.282286
2 10   97.4785 -174.801 0.400287
3 10   246.737 -29.6408 0.497021
4 10   939.631 -1718.89 3.91789
5 10   29.35 -44.3975 0.106444
6 10   71.4645 -42.5448 0.16634
7 10   219.124 236.777 0.645225
8 10   53.873 -586.207 1.17735
9 10   -25.7021 22.077 0.0677641
10 10   548.435 99.9135 1.11492
11 10   -195.747 -260.036 0.650955
12 10   271.171 -469.232 1.0839
13 10   149.577 -183.633 0.473684
14 10   -150.068 662.249 1.35808
15 10   -15.9615 107.466 0.217289
16 10   171.589 113.093 0.411014
17 10   253.302 -237.181 0.694023
18 10   -129.827 -336.824 0.721956
19 10   645.491 514.615 1.65104
20 10   -571.441 -178.694 1.19746
21 10   464.56 -326.35 1.13546
22 10   44.5135 -120.826 0.257529
23 10   68.9248 39.4129 0.158795
24 10   1431.68 -2118.39 5.11362
25 10   -235.682 20.1374 0.473082
26 10   -151.327 108.354 0.37224
27 10   -405.305 -63.5477 0.820514
28 10   310.571 -196.158 0.734663
29 10   1453.46 -317.188 2.97533
30 10   148.681 135.314 0.402074
31 10   75.872 -39.492 0.171069
32 10   48.3377 27.9012 0.111625
33 10   -198.112 93.2355 0.43791
34 10   235.324 -6.48377 0.470827
35 10   192.968 -6.18407 0.386134
36 10   172.89 394.684 0.861781
