39 10   54.9844 228.748 0.470527
40 10   -291.93 -445.333 1.06498
41 10   -34.4459 -75.4404 0.165865
42 10   -36.2053 -132.461 0.274639
43 10   -43072.7 -6759.27 87.1997
44 10   63.2937 131.783 0.292388
45 10   109.785 -56.4952 0.246936
46 10   179.669 -6.69357 0.359587
47 10   46.8443 121.896 0.261174
48 10   -40.7097 -137.182 0.28619
49 10   256.027 -7.69794 0.512286
50 10   -540.965 -157.104 1.12663
1 11   -116.875 32.3087 0.242516
2 11   -13.1642 101.422 0.204545
3 11   -372.11 -45.3134 0.749718
4 11   -41.8067 26.5836 0.0990856
5 11   -271.513 -269.582 0.765229
6 11   19.5138 142.497 0.287654
7 11   -52.0298 -95.6695 0.217805
8 11   -228.328 -141.665 0.537411
9 11   -341.282 -101.152 0.711914
10 11   -142.49 272.62 0.615225
11 11   -67.077 69.5505 0.193252
12 11   -189.517 -83.3046 0.414035
13 11   -303.443 489.773 1.15231
14 11   -631.844 604.76 1.74924
15 11   243.972 -69.1883 0.507186
16 11   284.344 112.507 0.611586
17 11   17.357 -25.8783 0.0623202
18 11   -292.3 29.481 0.587566
19 11   522.863 -123.067 1.0743
20 11   139.217 13.8546 0.27981
21 11   46.687 31.2193 0.112327
22 11   184.579 2.97137 0.369205
23 11   -26.8562 274.912 0.552441
24 11   1487.19 1460.34 4.16861
25 11   64.5686 -382.428 0.775682
26 11   -339.797 -23.8102 0.68126
27 11   60.3501 -193.465 0.405319
28 11   -154.629 203.943 0.511869
29 11   -92.5932 -28.1204 0.193538
30 11   238.932 -364.955 0.872423
31 11   93.9236 397.501 0.816894
32 11   114.046 154.602 0.384231
33 11   200.562 81.9751 0.433335
34 11   -83.0985 142.48 0.329884
35 11   49.9182 -67.8091 0.168403
36 11   220.133 -304.199 0.750988
37 11   -83.5236 74.703 0.224114
38 11   -394.978 -935.354 2.03066
39 11   -338.271 40.0423 0.681265
40 11   43.5935 -285.356 0.577334
41 11   67.4336 -72.5165 0.19805
42 11   897.977 814.971 2.42532
43 11   161.759 81.6345 0.362382
44 11   -172.249 -134.564 0.43716
45 11   -1442.52 789.378 3.28875
46 11   -177.025 48.2585 0.36697
47 11   98.4461 -96.9647 0.276361
48 11   423.561 -302.509 1.04099
49 11   81.4198 93.3266 0.247702
50 11   -188.936 -239.543 0.610172
1 12   -193.24 -103.157 0.438101
2 12   -42.7055 175.448 0.361142
3 12   42.8462 -157.398 0.326251
4 12   85.2058 8.13976 0.171187
5 12   485.831 -482.532 1.36948
6 12   450.868 250.876 1.03193
7 12   -29.8586 6.77824 0.0612366
8 12   -54.1918 -200.67 0.415718
