4 6   -5.9898e-005 9.37174e-005
5 6   -6.64257e-005 9.54954e-005
6 6   -0.000181153 0.000306401
7 6   -0.000358697 0.000474056
8 6   -0.00047367 0.000489951
9 6   -0.000650605 0.000641542
10 6   -0.000985184 0.000873151
11 6   -0.0012907 0.000954003
12 6   -0.00155011 0.00102636
13 6   -0.0019766 0.00124533
14 6   -0.00249189 0.00139563
15 6   -0.00289444 0.00142434
16 6   -0.00335479 0.00156551
17 6   -0.00400899 0.00175907
18 6   -0.00461501 0.001802
19 6   -0.00512544 0.00184166
20 6   -0.00580776 0.00201844
21 6   -0.00659303 0.00211453
22 6   -0.00722947 0.00209202
23 6   -0.00788308 0.00218047
24 6   -0.00873719 0.00232317
25 6   -0.00954184 0.00230593
26 6   -0.0102072 0.00228693
27 6   -0.0110128 0.00240655
28 6   -0.0119315 0.00245238
29 6   -0.0126878 0.00236574
30 6   -0.0134119 0.00239442
31 6   -0.0143187 0.00248524
32 6   -0.0151897 0.00241907
33 6   -0.0158916 0.00233296
34 6   -0.0166854 0.0023998
35 6   -0.0175948 0.00240239
36 6   -0.0183503 0.00226464
37 6   -0.0190255 0.00222791
38 6   -0.0198503 0.00228013
39 6   -0.0206607 0.00217567
40 6   -0.0212907 0.00203424
41 6   -0.0219557 0.00204637
42 6   -0.0227326 0.00202592
43 6   -0.0233803 0.0018473
44 6   -0.0239087 0.0017555
45 6   -0.0245422 0.00177234
46 6   -0.0251877 0.00165375
47 6   -0.0256583 0.00146423
48 6   -0.0261064 0.00143229
49 6   -0.0266554 0.00139754
50 6   -0.0271133 0.0012026
51 6   -0.0274243 0.00105944
52 6   -0.0277899 0.00105416
53 6   -0.0281943 0.000934294
54 6   -0.0284458 0.000718789
55 6   -0.028621 0.00064437
56 6   -0.02888 0.000612643
57 6   -0.0290946 0.000415858
58 6   -0.0291483 0.000239735
59 6   -0.0292037 0.000214076
60 6   -0.0293231 0.000114328
61 6   -0.029325 -0.000113639
62 6   -0.0292049 -0.000215467
63 6   -0.0291461 -0.000240298
64 6   -0.0290944 -0.00041467
65 6   -0.0288825 -0.000612977
66 6   -0.0286203 -0.000645849
67 6   -0.0284438 -0.000718287
68 6   -0.028196 -0.000933434
69 6   -0.0277915 -0.00105542
70 6   -0.0274222 -0.00106021
71 6   -0.0271129 -0.00120144
72 6   -0.026658 -0.00139763
73 6   -0.0261062 -0.0014338
74 6   -0.0256562 -0.00146393
75 6   -0.0251892 -0.00165274
76 6   -0.0245441 -0.00177342
77 6   -0.0239069 -0.00175645
78 6   -0.0233797 -0.0018462
79 6   -0.0227352 -0.00202575
80 6   -0.0219559 -0.00204787
81 6   -0.0212887 -0.00203414
82 6   -0.0206621 -0.00217452
83 6   -0.0198526 -0.00228097
84 6   -0.0190241 -0.00222901
85 6   -0.0183495 -0.00226363
86 6   -0.0175975 -0.00240194
87 6   -0.0166861 -0.00240122
88 6   -0.0158897 -0.00233308
89 6   -0.0151909 -0.0024178
90 6   -0.0143213 -0.00248579
91 6   -0.0134109 -0.00239565
92 6   -0.0126869 -0.00236485
93 6   -0.0119343 -0.0024516
94 6   -0.011014 -0.00240782
95 6   -0.0102054 -0.00228728
96 6   -0.00954296 -0.00230451
97 6   -0.00874018 -0.00232334
98 6   -0.00788245 -0.00218178
99 6   -0.00722861 -0.00209126
100 6   -0.006596 -0.00211329
101 6   -0.00580949 -0.00201947
102 6   -0.00512389 -0.00184224
103 6   -0.00461629 -0.00180037
104 6   -0.00401249 -0.00175855
105 6   -0.00335462 -0.0015669
106 6   -0.00289369 -0.00142366
107 6   -0.00249539 -0.00139361
108 6   -0.00197897 -0.00124571
109 6   -0.00154874 -0.0010274
110 6   -0.00129226 -0.000951662
111 6   -0.000989583 -0.000871235
112 6   -0.000650777 -0.000642788
113 6   -0.000472708 -0.000489879
114 6   -0.000362369 -0.000469611
115 6   -0.000183756 -0.000305714
116 6   -6.40921e-005 -9.83399e-005
117 6   -5.97908e-005 -9.25622e-005
118 6   -3.28389e-005 -8.83359e-005
119 6   -1.48805e-005 6.9857e-005
120 6   -1.17536e-005 6.1262e-005
1 7   1.1057e-005 -6.50286e-005
2 7   -5.95839e-005 -1.08898e-005
3 7   -7.52305e-005 6.23907e-005
4 7   -4.44609e-005 8.06987e-005
5 7   -0.000200972 0.000222175
6 7   -0.000364358 0.000451709
7 7   -0.000414258 0.000567744
8 7   -0.000634734 0.000681976
9 7   -0.00100426 0.000946167
10 7   -0.00125094 0.00116067
11 7   -0.00152995 0.00125074
12 7   -0.00204758 0.00144223
13 7   -0.00254037 0.00171868
14 7   -0.00292205 0.00184559
15 7   -0.0035029 0.00193109
16 7   -0.00422445 0.00217182
17 7   -0.00478401 0.00237182
18 7   -0.0053771 0.00241032
19 7   -0.00622299 0.00252926
20 7   -0.00701545 0.00275917
21 7   -0.00765444 0.00283531
22 7   -0.00849509 0.00283761
23 7   -0.00947807 0.00299423
24 7   -0.0102564 0.00314164
25 7   -0.0110309 0.00310714
26 7   -0.0120665 0.00313008
27 7   -0.0130368 0.00328191
28 7   -0.0138006 0.00330396
29 7   -0.0147421 0.00321744
30 7   -0.0158398 0.00328042
31 7   -0.0167028 0.00336412
32 7   -0.0175066 0.00327083
33 7   -0.0185691 0.00319607
34 7   -0.0195771 0.00327014
35 7   -0.0203272 0.00324174
36 7   -0.0212122 0.00308694
37 7   -0.022274 0.00305506
38 7   -0.0230933 0.00308497
39 7   -0.0237874 0.0029456
40 7   -0.0247273 0.00279364
41 7   -0.0256433 0.00279014
42 7   -0.0262626 0.00273023
43 7   -0.0269572 0.00252335
44 7   -0.0278522 0.00241471
45 7   -0.0285208 0.00239471
46 7   -0.0289979 0.0022351
47 7   -0.0296936 0.00202115
48 7   -0.0304124 0.00195643
49 7   -0.030814 0.00187431
50 7   -0.0312207 0.00164455
51 7   -0.0318475 0.00147094
52 7   -0.0322877 0.00141805
53 7   -0.032477 0.00125288
