#k solution exact absolute_error relative_error
0 9.99 10  -0.01 -0.001
0.245 7.81826 6.12551  1.69275 0.276344
0.246 7.81044 6.11327  1.69717 0.277621
0.247 7.80263 6.10105  1.70158 0.278899
0.248 7.79483 6.08886  1.70597 0.280178
0.249 7.78703 6.07669  1.71034 0.281459
0.25 7.77925 6.06455  1.7147 0.282741
0.251 7.77147 6.05243  1.71904 0.284025
0.252 7.7637 6.04033  1.72336 0.285309
0.253 7.75593 6.02826  1.72767 0.286595
0.254 7.74818 6.01621  1.73196 0.287883
0.255 7.74043 6.00419  1.73624 0.289171
0.256 7.73269 5.99219  1.7405 0.290461
0.257 7.72496 5.98021  1.74474 0.291752
0.258 7.71723 5.96826  1.74897 0.293044
0.259 7.70951 5.95634  1.75318 0.294338
0.26 7.7018 5.94443  1.75737 0.295633
0.261 7.6941 5.93255  1.76155 0.296929
0.262 7.68641 5.9207  1.76571 0.298227
0.263 7.67872 5.90886  1.76986 0.299526
0.264 7.67104 5.89705  1.77399 0.300826
0.265 7.66337 5.88527  1.7781 0.302128
0.266 7.65571 5.87351  1.7822 0.30343
0.267 7.64805 5.86177  1.78628 0.304734
0.268 7.6404 5.85005  1.79035 0.30604
0.269 7.63276 5.83836  1.7944 0.307346
0.27 7.62513 5.8267  1.79844 0.308654
0.271 7.61751 5.81505  1.80246 0.309964
0.272 7.60989 5.80343  1.80646 0.311274
0.273 7.60228 5.79183  1.81045 0.312586
0.274 7.59468 5.78026  1.81442 0.3139
0.275 7.58708 5.7687  1.81838 0.315214
0.276 7.57949 5.75718  1.82232 0.31653
0.277 7.57191 5.74567  1.82625 0.317847
0.278 7.56434 5.73419  1.83016 0.319166
0.279 7.55678 5.72273  1.83405 0.320486
0.28 7.54922 5.71129  1.83793 0.321807
0.281 7.54167 5.69988  1.8418 0.323129
0.282 7.53413 5.68849  1.84565 0.324453
0.283 7.5266 5.67712  1.84948 0.325778
0.284 7.51907 5.66577  1.8533 0.327104
0.285 7.51155 5.65445  1.8571 0.328432
0.286 7.50404 5.64315  1.86089 0.329761
0.287 7.49654 5.63187  1.86467 0.331092
0.288 7.48904 5.62061  1.86842 0.332424
0.289 7.48155 5.60938  1.87217 0.333757
0.29 7.47407 5.59817  1.8759 0.335091
0.291 7.46659 5.58698  1.87961 0.336427
0.292 7.45913 5.57582  1.88331 0.337764
0.293 7.45167 5.56467  1.88699 0.339102
0.294 7.44422 5.55355  1.89066 0.340442
0.295 7.43677 5.54245  1.89432 0.341783
0.296 7.42934 5.53138  1.89796 0.343126
0.297 7.42191 5.52032  1.90158 0.344469
0.298 7.41448 5.50929  1.90519 0.345815
0.299 7.40707 5.49828  1.90879 0.347161
0.3 7.39966 5.48729  1.91237 0.348509
0.301 7.39226 5.47633  1.91594 0.349858
0.302 7.38487 5.46538  1.91949 0.351209
0.303 7.37749 5.45446  1.92303 0.352561
0.304 7.37011 5.44356  1.92655 0.353914
0.305 7.36274 5.43268  1.93006 0.355268
0.306 7.35538 5.42182  1.93355 0.356624
0.307 7.34802 5.41099  1.93703 0.357982
0.308 7.34067 5.40017  1.9405 0.35934
0.309 7.33333 5.38938  1.94395 0.3607
0.31 7.326 5.37861  1.94739 0.362062
0.311 7.31867 5.36786  1.95081 0.363424
0.312 7.31135 5.35713  1.95422 0.364789
0.313 7.30404 5.34643  1.95762 0.366154
0.314 7.29674 5.33574  1.961 0.367521
0.315 7.28944 5.32508  1.96436 0.368889
0.316 7.28215 5.31444  1.96772 0.370259
0.317 7.27487 5.30382  1.97105 0.37163
0.318 7.2676 5.29322  1.97438 0.373002
0.319 7.26033 5.28264  1.97769 0.374376
0.32 7.25307 5.27208  1.98099 0.375751
0.321 7.24581 5.26154  1.98427 0.377127
0.322 7.23857 5.25103  1.98754 0.378505
0.323 7.23133 5.24053  1.9908 0.379884
0.324 7.2241 5.23006  1.99404 0.381265
0.325 7.21687 5.21961  1.99727 0.382647
0.326 7.20966 5.20918  2.00048 0.38403
0.327 7.20245 5.19877  2.00368 0.385415
0.328 7.19525 5.18838  2.00687 0.386801
0.329 7.18805 5.17801  2.01004 0.388188
0.33 7.18086 5.16766  2.0132 0.389577
0.331 7.17368 5.15733  2.01635 0.390967
0.332 7.16651 5.14703  2.01948 0.392359
0.333 7.15934 5.13674  2.0226 0.393752
0.334 7.15218 5.12647  2.02571 0.395147
0.335 7.14503 5.11623  2.0288 0.396542
0.336 7.13788 5.106  2.03188 0.39794
0.337 7.13075 5.0958  2.03495 0.399338
0.338 7.12362 5.08562  2.038 0.400738
0.339 7.11649 5.07545  2.04104 0.40214
0.34 7.10938 5.06531  2.04407 0.403543
0.341 7.10227 5.05519  2.04708 0.404947
0.342 7.09516 5.04508  2.05008 0.406353
0.343 7.08807 5.035  2.05307 0.40776
0.344 7.08098 5.02494  2.05604 0.409168
0.345 7.0739 5.01489  2.05901 0.410578
0.346 7.06683 5.00487  2.06195 0.411989
0.347 7.05976 4.99487  2.06489 0.413402
0.348 7.0527 4.98489  2.06781 0.414816
0.349 7.04565 4.97493  2.07072 0.416232
0.35 7.0386 4.96498  2.07362 0.417648
0.351 7.03156 4.95506  2.0765 0.419067
0.352 7.02453 4.94516  2.07937 0.420487
0.353 7.01751 4.93528  2.08223 0.421908
0.354 7.01049 4.92541  2.08508 0.42333
0.355 7.00348 4.91557  2.08791 0.424754
0.356 6.99648 4.90575  2.09073 0.42618
0.357 6.98948 4.89594  2.09354 0.427607
0.358 6.98249 4.88616  2.09633 0.429035
0.359 6.97551 4.87639  2.09912 0.430465
0.36 6.96853 4.86665  2.10189 0.431896
0.361 6.96156 4.85692  2.10464 0.433329
0.362 6.9546 4.84721  2.10739 0.434763
0.363 6.94765 4.83753  2.11012 0.436198
0.364 6.9407 4.82786  2.11284 0.437635
0.365 6.93376 4.81821  2.11555 0.439073
0.366 6.92682 4.80858  2.11824 0.440513
0.367 6.9199 4.79897  2.12093 0.441955
0.368 6.91298 4.78938  2.1236 0.443397
0.369 6.90606 4.77981  2.12626 0.444841
0.37 6.89916 4.77026  2.1289 0.446287
0.371 6.89226 4.76072  2.13154 0.447734
0.372 6.88537 4.75121  2.13416 0.449182
0.373 6.87848 4.74171  2.13677 0.450632
0.374 6.8716 4.73224  2.13937 0.452084
0.375 6.86473 4.72278  2.14195 0.453536
0.376 6.85787 4.71334  2.14453 0.454991
0.377 6.85101 4.70392  2.14709 0.456446
0.378 6.84416 4.69452  2.14964 0.457904
0.379 6.83731 4.68514  2.15218 0.459362
0.38 6.83048 4.67578  2.1547 0.460822
0.381 6.82365 4.66643  2.15722 0.462284
0.382 6.81682 4.6571  2.15972 0.463747
0.383 6.81001 4.6478  2.16221 0.465211
0.384 6.8032 4.63851  2.16469 0.466677
0.385 6.79639 4.62924  2.16715 0.468145
0.386 6.7896 4.61999  2.16961 0.469614
0.387 6.78281 4.61075  2.17205 0.471084
0.388 6.77602 4.60154  2.17448 0.472556
0.389 6.76925 4.59234  2.1769 0.474029
0.39 6.76248 4.58317  2.17931 0.475504
0.391 6.75572 4.57401  2.18171 0.47698
0.392 6.74896 4.56487  2.1841 0.478458
0.393 6.74221 4.55574  2.18647 0.479937
0.394 6.73547 4.54664  2.18883 0.481418
0.395 6.72873 4.53755  2.19118 0.4829
0.396 6.722 4.52848  2.19352 0.484383
0.397 6.71528 4.51943  2.19585 0.485869
0.398 6.70857 4.5104  2.19817 0.487355
0.399 6.70186 4.50139  2.20047 0.488843
0.4 6.69516 4.49239  2.20277 0.490333
0.401 6.68846 4.48341  2.20505 0.491824
0.402 6.68177 4.47445  2.20732 0.493317
0.403 6.67509 4.46551  2.20958 0.494811
0.404 6.66842 4.45659  2.21183 0.496306
0.405 6.66175 4.44768  2.21407 0.497803
0.406 6.65509 4.43879  2.2163 0.499302
0.407 6.64843 4.42992  2.21851 0.500802
0.408 6.64178 4.42107  2.22072 0.502303
0.409 6.63514 4.41223  2.22291 0.503806
0.41 6.62851 4.40341  2.22509 0.505311
0.411 6.62188 4.39461  2.22726 0.506817
0.412 6.61526 4.38583  2.22943 0.508325
0.413 6.60864 4.37707  2.23158 0.509834
0.414 6.60203 4.36832  2.23371 0.511344
0.415 6.59543 4.35959  2.23584 0.512856
0.416 6.58883 4.35087  2.23796 0.51437
0.417 6.58225 4.34218  2.24007 0.515885
0.418 6.57566 4.3335  2.24216 0.517402
0.419 6.56909 4.32484  2.24425 0.51892
0.42 6.56252 4.3162  2.24632 0.52044
0.421 6.55596 4.30757  2.24838 0.521961
0.422 6.5494 4.29896  2.25044 0.523484
0.423 6.54285 4.29037  2.25248 0.525008
0.424 6.53631 4.2818  2.25451 0.526534
0.425 6.52977 4.27324  2.25653 0.528061
0.426 6.52324 4.2647  2.25854 0.52959
0.427 6.51672 4.25618  2.26054 0.53112
0.428 6.5102 4.24767  2.26253 0.532652
0.429 6.50369 4.23918  2.26451 0.534185
0.43 6.49719 4.23071  2.26648 0.53572
0.431 6.49069 4.22226  2.26844 0.537257
0.432 6.4842 4.21382  2.27038 0.538795
0.433 6.47772 4.2054  2.27232 0.540334
0.434 6.47124 4.19699  2.27425 0.541875
0.435 6.46477 4.1886  2.27616 0.543418
0.436 6.4583 4.18023  2.27807 0.544962
0.437 6.45184 4.17188  2.27997 0.546508
0.438 6.44539 4.16354  2.28185 0.548055
0.439 6.43895 4.15522  2.28373 0.549604
0.44 6.43251 4.14692  2.28559 0.551155
0.441 6.42608 4.13863  2.28745 0.552706
0.442 6.41965 4.13036  2.28929 0.55426
0.443 6.41323 4.1221  2.29113 0.555815
0.444 6.40682 4.11386  2.29295 0.557372
0.445 6.40041 4.10564  2.29477 0.55893
0.446 6.39401 4.09744  2.29657 0.560489
0.447 6.38761 4.08925  2.29837 0.562051
0.448 6.38123 4.08108  2.30015 0.563614
0.449 6.37485 4.07292  2.30193 0.565178
0.45 6.36847 4.06478  2.30369 0.566744
0.451 6.3621 4.05666  2.30544 0.568311
0.452 6.35574 4.04855  2.30719 0.56988
0.453 6.34938 4.04046  2.30893 0.571451
0.454 6.34304 4.03238  2.31065 0.573023
0.455 6.33669 4.02433  2.31237 0.574597
0.456 6.33036 4.01628  2.31407 0.576173
0.457 6.32403 4.00826  2.31577 0.57775
0.458 6.3177 4.00025  2.31746 0.579328
0.459 6.31138 3.99225  2.31913 0.580908
0.46 6.30507 3.98427  2.3208 0.58249
0.461 6.29877 3.97631  2.32246 0.584073
0.462 6.29247 3.96836  2.3241 0.585658
0.463 6.28618 3.96043  2.32574 0.587245
0.464 6.27989 3.95252  2.32737 0.588833
0.465 6.27361 3.94462  2.32899 0.590422
0.466 6.26734 3.93674  2.3306 0.592013
0.467 6.26107 3.92887  2.3322 0.593606
0.468 6.25481 3.92102  2.33379 0.595201
0.469 6.24855 3.91318  2.33537 0.596797
0.47 6.2423 3.90536  2.33694 0.598394
0.471 6.23606 3.89756  2.33851 0.599993
0.472 6.22983 3.88977  2.34006 0.601594
0.473 6.2236 3.88199  2.3416 0.603197
0.474 6.21737 3.87423  2.34314 0.604801
0.475 6.21116 3.86649  2.34466 0.606406
0.476 6.20494 3.85876  2.34618 0.608013
0.477 6.19874 3.85105  2.34769 0.609622
0.478 6.19254 3.84336  2.34918 0.611233
0.479 6.18635 3.83568  2.35067 0.612845
0.48 6.18016 3.82801  2.35215 0.614458
0.481 6.17398 3.82036  2.35362 0.616074
0.482 6.16781 3.81272  2.35508 0.61769
0.483 6.16164 3.8051  2.35654 0.619309
0.484 6.15548 3.7975  2.35798 0.620929
0.485 6.14932 3.78991  2.35941 0.622551
0.486 6.14317 3.78234  2.36084 0.624174
0.487 6.13703 3.77478  2.36225 0.625799
0.488 6.13089 3.76723  2.36366 0.627426
0.489 6.12476 3.7597  2.36506 0.629054
0.49 6.11864 3.75219  2.36645 0.630684
0.491 6.11252 3.74469  2.36783 0.632315
0.492 6.10641 3.73721  2.3692 0.633949
0.493 6.1003 3.72974  2.37056 0.635583
0.494 6.0942 3.72229  2.37191 0.63722
0.495 6.08811 3.71485  2.37326 0.638858
0.496 6.08202 3.70742  2.37459 0.640497
0.497 6.07594 3.70001  2.37592 0.642139
0.498 6.06986 3.69262  2.37724 0.643782
0.499 6.06379 3.68524  2.37855 0.645426
0.5 6.05773 3.67787  2.37985 0.647073
0.501 6.05167 3.67052  2.38114 0.64872
0.502 6.04562 3.66319  2.38243 0.65037
0.503 6.03957 3.65587  2.3837 0.652021
0.504 6.03353 3.64856  2.38497 0.653674
0.505 6.0275 3.64127  2.38623 0.655329
0.506 6.02147 3.63399  2.38748 0.656985
0.507 6.01545 3.62673  2.38872 0.658643
0.508 6.00943 3.61948  2.38995 0.660302
0.509 6.00342 3.61225  2.39118 0.661963
0.51 5.99742 3.60503  2.39239 0.663626
0.511 5.99142 3.59782  2.3936 0.66529
0.512 5.98543 3.59063  2.3948 0.666956
0.513 5.97945 3.58346  2.39599 0.668624
0.514 5.97347 3.5763  2.39717 0.670294
0.515 5.96749 3.56915  2.39834 0.671965
0.516 5.96153 3.56202  2.39951 0.673638
0.517 5.95556 3.5549  2.40067 0.675312
0.518 5.94961 3.54779  2.40181 0.676988
0.519 5.94366 3.5407  2.40296 0.678666
0.52 5.93772 3.53363  2.40409 0.680346
0.521 5.93178 3.52657  2.40521 0.682027
0.522 5.92585 3.51952  2.40633 0.68371
0.523 5.91992 3.51248  2.40744 0.685394
0.524 5.914 3.50546  2.40854 0.68708
0.525 5.90809 3.49846  2.40963 0.688768
0.526 5.90218 3.49147  2.41071 0.690458
0.527 5.89628 3.48449  2.41179 0.692149
0.528 5.89038 3.47753  2.41285 0.693842
0.529 5.88449 3.47058  2.41391 0.695537
0.53 5.8786 3.46364  2.41497 0.697233
0.531 5.87273 3.45672  2.41601 0.698931
0.532 5.86685 3.44981  2.41704 0.700631
0.533 5.86099 3.44291  2.41807 0.702333
0.534 5.85513 3.43603  2.41909 0.704036
0.535 5.84927 3.42917  2.4201 0.705741
0.536 5.84342 3.42231  2.42111 0.707447
0.537 5.83758 3.41547  2.4221 0.709156
0.538 5.83174 3.40865  2.42309 0.710866
0.539 5.82591 3.40184  2.42407 0.712577
0.54 5.82008 3.39504  2.42504 0.714291
0.541 5.81426 3.38825  2.42601 0.716006
0.542 5.80845 3.38148  2.42697 0.717723
0.543 5.80264 3.37472  2.42792 0.719441
0.544 5.79684 3.36798  2.42886 0.721162
0.545 5.79104 3.36125  2.42979 0.722884
0.546 5.78525 3.35453  2.43072 0.724608
0.547 5.77946 3.34783  2.43164 0.726333
0.548 5.77368 3.34114  2.43255 0.72806
0.549 5.76791 3.33446  2.43345 0.729789
0.55 5.76214 3.32779  2.43435 0.73152
0.551 5.75638 3.32114  2.43524 0.733252
0.552 5.75062 3.31451  2.43612 0.734986
0.553 5.74487 3.30788  2.43699 0.736722
0.554 5.73913 3.30127  2.43786 0.73846
0.555 5.73339 3.29467  2.43871 0.740199
0.556 5.72766 3.28809  2.43957 0.74194
0.557 5.72193 3.28152  2.44041 0.743683
0.558 5.71621 3.27496  2.44125 0.745427
0.559 5.71049 3.26842  2.44207 0.747174
0.56 5.70478 3.26188  2.4429 0.748922
0.561 5.69908 3.25537  2.44371 0.750672
0.562 5.69338 3.24886  2.44452 0.752423
0.563 5.68768 3.24237  2.44532 0.754176
0.564 5.682 3.23589  2.44611 0.755932
0.565 5.67631 3.22942  2.44689 0.757688
0.566 5.67064 3.22297  2.44767 0.759447
0.567 5.66497 3.21652  2.44844 0.761207
0.568 5.6593 3.2101  2.4492 0.762969
0.569 5.65364 3.20368  2.44996 0.764733
0.57 5.64799 3.19728  2.45071 0.766499
0.571 5.64234 3.19089  2.45145 0.768266
0.572 5.6367 3.18451  2.45219 0.770035
0.573 5.63106 3.17815  2.45291 0.771806
